,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
67,0.372666654,0.424562907,0.464533301,0.529198939,0.565508811,0.610728058,1.976497932,2.16222708,2.35886345,0.34,0.66
68,0.370954883,0.423326739,0.463336031,0.530301704,0.566613538,0.612174154,1.961011554,2.149463997,2.351220297,0.33,0.67
69,0.369186237,0.422006572,0.462097422,0.531441645,0.567792014,0.613664868,1.945041623,2.136476399,2.343227709,0.32,0.68
70,0.366995682,0.420357854,0.461387036,0.532095025,0.569261838,0.615506291,1.929075781,2.124063361,2.335389702,0.31,0.69
71,0.364492561,0.418681771,0.460280339,0.533112305,0.570753812,0.617603775,1.912822086,2.111734043,2.327465479,0.3,0.7
72,0.362235132,0.417121646,0.459285731,0.534025917,0.572140521,0.61948913,1.896651536,2.099275888,2.319086027,0.29,0.71
73,0.359977264,0.415513273,0.457867105,0.53532796,0.573568024,0.621368852,1.879489058,2.085746473,2.310697521,0.28,0.72
74,0.357400793,0.413732039,0.456578867,0.536509257,0.575146436,0.623506367,1.862230202,2.070933738,2.301523234,0.27,0.73
75,0.354785315,0.411989095,0.455295235,0.537685294,0.576688347,0.625667991,1.84471811,2.056232516,2.292025014,0.26,0.74
76,0.352763645,0.40981444,0.454029443,0.538843972,0.578608539,0.627333065,1.826548211,2.042181749,2.281817322,0.25,0.75
77,0.350122677,0.407884869,0.45258688,0.540163214,0.580308934,0.629500486,1.807440148,2.026393387,2.27149666,0.24,0.76
78,0.347665385,0.405306178,0.451384948,0.541261375,0.582576249,0.631509197,1.784593071,2.009467342,2.260986218,0.23,0.77
79,0.344418072,0.403189365,0.449958161,0.54256376,0.584433054,0.634151727,1.765711988,1.992724593,2.250050281,0.22,0.78
80,0.34138496,0.400212718,0.448768159,0.543648987,0.587037226,0.636607378,1.74728291,1.975321685,2.238652298,0.21,0.79
81,0.338478843,0.398090444,0.446845602,0.545400289,0.588888977,0.638948631,1.722435556,1.958622999,2.226681287,0.2,0.8
82,0.33560682,0.395273981,0.44490981,0.547161149,0.59133993,0.641251041,1.704266808,1.942305734,2.214350881,0.19,0.81
83,0.332978196,0.392744827,0.44300314,0.548893033,0.593534443,0.643348218,1.683090717,1.92301729,2.201299293,0.18,0.82
84,0.329553814,0.389611527,0.440938538,0.55076555,0.596244584,0.646065639,1.661971588,1.90343459,2.18840902,0.17,0.83
85,0.325401559,0.386629752,0.43917437,0.552363234,0.598814677,0.649337885,1.636241399,1.885216277,2.175477296,0.16,0.84
86,0.321215303,0.382874377,0.436735896,0.554567966,0.602038818,0.652610976,1.61031812,1.863681646,2.160882275,0.15,0.85
87,0.317272361,0.379120917,0.434665287,0.556436747,0.605246791,0.655669421,1.586398199,1.842448381,2.145381119,0.14,0.86
88,0.313018224,0.374578284,0.43167343,0.559131444,0.609109302,0.658942035,1.559884501,1.819367395,2.129412545,0.13,0.87
89,0.306582182,0.370170119,0.42900641,0.56152798,0.612836024,0.663837841,1.535302408,1.795165835,2.111452482,0.12,0.88
90,0.301462802,0.365550517,0.425352371,0.56480266,0.616718144,0.667682954,1.506777131,1.769287849,2.091415663,0.11,0.89
91,0.295805172,0.360947547,0.421943103,0.567848643,0.620561814,0.671879987,1.479924131,1.741592441,2.071161286,0.1,0.9
92,0.288929649,0.355416174,0.418383406,0.571019169,0.625147371,0.676903776,1.452148472,1.71672037,2.050583671,0.09,0.91
93,0.281389837,0.348607967,0.412895107,0.575887158,0.630739603,0.682312382,1.417124707,1.685997428,2.027683503,0.08,0.92
94,0.272529902,0.341724748,0.40728054,0.580840816,0.6363329,0.68852713,1.384988538,1.652996727,1.999111811,0.07,0.93
95,0.262117922,0.33267132,0.403014448,0.584586306,0.64359247,0.695625828,1.352294066,1.616266129,1.968386173,0.06,0.94
96,0.25092188,0.321868231,0.397484821,0.589416632,0.652102214,0.702997441,1.311830871,1.582884769,1.931263922,0.05,0.95
97,0.2374258,0.310128022,0.388375602,0.597310943,0.661148941,0.711498198,1.270708143,1.539688142,1.890656897,0.04,0.96
98,0.221420919,0.294758423,0.377342323,0.606761729,0.672650297,0.720990545,1.224670749,1.485993188,1.840595571,0.03,0.97
99,0.200632408,0.273442059,0.36333893,0.618568008,0.687894583,0.732274167,1.173555246,1.422751309,1.777745447,0.02,0.98
100,0.17254821,0.243088758,0.341063569,0.6368668,0.707984401,0.745408858,1.109988195,1.345759718,1.688149839,0.01,0.99
101,0.07930362,0.082935739,0.086708585,0.766438066,0.766553383,0.766590926,0.932010711,1.102581665,1.293827328,0,1
