"","resistance","dn0","rn0","gamman"
"55",0.54,0.2791,0.683927420996986,2.81946241106861
"56",0.55,0.2776,0.684980228531229,2.79690131593723
"57",0.56,0.27585,0.686230677039145,2.77417827197028
"58",0.57,0.27415,0.68741594850299,2.7496921035344
"59",0.58,0.27235,0.688657827947466,2.72396674112136
"60",0.59,0.27075,0.689765004196887,2.69784814052084
"61",0.6,0.26835,0.691402793150646,2.67169353241229
"62",0.61,0.26585,0.693084201366732,2.64550498206673
"63",0.62,0.26355,0.694653544005198,2.6190885317356
"64",0.63,0.2618,0.69583027673948,2.59280190325056
"65",0.64,0.25935,0.697476350292909,2.56554995200162
"66",0.65,0.2571,0.698975022871811,2.53731240531452
"67",0.66,0.25475,0.700483020739731,2.50991471268199
"68",0.67,0.25305,0.701626333452234,2.48261451362944
"69",0.68,0.25135,0.702704437988503,2.45451257511176
"70",0.69,0.2489,0.704323023619359,2.4255732872299
"71",0.7,0.24675,0.705682888162882,2.39719715852596
"72",0.71,0.2441,0.707347685859972,2.3683741285912
"73",0.72,0.2423,0.708474816344969,2.33822832810443
"74",0.73,0.23975,0.710083360950778,2.30893187445069
"75",0.74,0.23695,0.711781513687722,2.27900992229825
"76",0.75,0.2344,0.713353952521577,2.24817601887539
"77",0.76,0.2311,0.715352837260046,2.21709238284857
"78",0.77,0.2273,0.717577555214969,2.18481280205534
"79",0.78,0.2247,0.719100468673732,2.15154216168738
"80",0.79,0.22155,0.720938727929092,2.11508191146042
"81",0.8,0.2175,0.723199039361588,2.07917158243612
"82",0.81,0.21405,0.725128477359308,2.04205443827085
"83",0.82,0.21005,0.727327412433552,2.00563994743663
"84",0.83,0.2064,0.729285106758963,1.96888671573404
"85",0.84,0.20275,0.731203042527862,1.92851172914348
"86",0.85,0.19715,0.734026198068218,1.89019073061334
"87",0.86,0.19205,0.736554542022437,1.84906512408123
"88",0.87,0.18725,0.73885738516012,1.80985892291559
"89",0.88,0.1817,0.741418425642125,1.76797392930686
"90",0.89,0.17575,0.744044628838871,1.71962831553719
"91",0.9,0.1694,0.746713477019173,1.66984009735619
"92",0.91,0.16265,0.749385673914602,1.62176619639392
"93",0.92,0.15495,0.752262255986528,1.57174365367637
"94",0.93,0.1468,0.755015093261114,1.51527504450778
"95",0.94,0.13795,0.757465952871904,1.45728388014791
"96",0.95,0.12805,0.760053855679619,1.39124280882053
"97",0.96,0.1162,0.762227463433699,1.32117210957105
"98",0.97,0.1022,0.763614551873571,1.24955088170823
"99",0.98,0.08455,0.763736922527221,1.15715470545393
"100",0.99,0.0601,0.762729335788132,1.04990870946715
"101",1,0,0.74563138366552,0.768884447079568
