,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
36,0.495582738,0.520073768,0.539403668,0.458813563,0.477219594,0.500323998,2.452358872,2.514639131,2.567989884,0.65,0.35
37,0.495140742,0.519721031,0.539166189,0.459040511,0.477554156,0.500738502,2.445271956,2.509943069,2.565337412,0.64,0.36
38,0.494714257,0.519371981,0.538853443,0.459339358,0.477885172,0.501138372,2.438296495,2.505160958,2.562638789,0.63,0.37
39,0.49426522,0.518938506,0.538617033,0.459565239,0.478296184,0.501559292,2.431289217,2.500277842,2.559915466,0.62,0.38
40,0.493827499,0.51855638,0.538312959,0.459855744,0.478658446,0.501969512,2.424129107,2.495358876,2.557145044,0.61,0.39
41,0.493297416,0.518145305,0.537982469,0.460171448,0.479048086,0.502466168,2.41667458,2.490349351,2.554325943,0.6,0.4
42,0.492557507,0.517713145,0.537644311,0.460494438,0.479457638,0.503159191,2.409464567,2.485235488,2.551456502,0.59,0.41
43,0.491992779,0.517278423,0.537271826,0.460850169,0.479869543,0.503687956,2.401866573,2.480023376,2.548534976,0.58,0.42
44,0.491441421,0.516894617,0.536747719,0.46135062,0.48023314,0.504204053,2.39410328,2.474749255,2.545559527,0.57,0.43
45,0.490862434,0.516405849,0.536441455,0.461643017,0.480696086,0.504745851,2.386198346,2.469290478,2.542528221,0.56,0.44
46,0.490276042,0.515939135,0.535956444,0.462105998,0.481138052,0.505294411,2.3780935,2.463762273,2.539437461,0.55,0.45
47,0.489527112,0.51546501,0.535548764,0.462495097,0.481586945,0.505994777,2.369786762,2.45810629,2.536211221,0.54,0.46
48,0.488705427,0.515046338,0.535075322,0.462946886,0.481983259,0.50676286,2.36144891,2.45220377,2.532913777,0.53,0.47
49,0.488082671,0.514625809,0.53458622,0.463413533,0.482381259,0.507344769,2.352868285,2.446510116,2.529544855,0.52,0.48
50,0.487549714,0.514232936,0.534071826,0.463904222,0.482753018,0.507842612,2.344063168,2.440493566,2.526101548,0.51,0.49
51,0.486792659,0.513746932,0.533854218,0.464111777,0.483212815,0.508549546,2.335427726,2.434344646,2.522580771,0.5,0.5
52,0.486124134,0.513304115,0.533458996,0.46448869,0.483631667,0.50917357,2.326352984,2.427760284,2.519032053,0.49,0.51
53,0.485502495,0.512747607,0.532912707,0.465009579,0.484157942,0.509753624,2.317061299,2.421143967,2.515435253,0.48,0.52
54,0.484618418,0.512312531,0.53245589,0.465445075,0.484569292,0.510578223,2.307311339,2.414555571,2.511757552,0.47,0.53
55,0.48353708,0.511712658,0.532156196,0.46573074,0.485136322,0.511586266,2.297135924,2.407968976,2.507995417,0.46,0.54
56,0.482571087,0.511116977,0.531845199,0.466027144,0.485699239,0.51248627,2.287289025,2.400792625,2.504145081,0.45,0.55
57,0.481578828,0.510524502,0.531392219,0.466458805,0.486258977,0.513410242,2.277157781,2.393610234,2.500202524,0.44,0.56
58,0.480716961,0.509968909,0.530806109,0.46701722,0.486783735,0.514212376,2.266625223,2.386553268,2.496163447,0.43,0.57
59,0.479830585,0.509413939,0.530324577,0.467475905,0.487307773,0.515036912,2.256413796,2.379193879,2.492023247,0.42,0.58
60,0.478910697,0.50879185,0.529785146,0.467989639,0.487895034,0.51589218,2.246323201,2.371375931,2.487755968,0.41,0.59
61,0.477824364,0.508126901,0.529154223,0.468590371,0.488522568,0.516901619,2.235308758,2.363630317,2.483375022,0.4,0.6
62,0.476924347,0.507567492,0.528624855,0.469094294,0.489050354,0.51773745,2.223672824,2.355385722,2.47887512,0.39,0.61
63,0.475921605,0.507001036,0.528020021,0.469669928,0.489584649,0.518668161,2.21174632,2.34738677,2.474230878,0.38,0.62
64,0.474984138,0.506387205,0.527514406,0.470151028,0.490163471,0.519537791,2.199353691,2.339305508,2.469520427,0.37,0.63
65,0.473921017,0.505577363,0.526957496,0.470680823,0.490926871,0.520523398,2.186495837,2.330702817,2.464658618,0.36,0.64
66,0.472851654,0.504803183,0.526573373,0.471046177,0.491656387,0.521514159,2.17334256,2.321788736,2.459652373,0.35,0.65
67,0.47168649,0.503913783,0.526054664,0.471539451,0.492494144,0.522592955,2.159839941,2.312605751,2.454493255,0.34,0.66
68,0.470615082,0.503240603,0.525489009,0.472077253,0.493128002,0.523584271,2.146306244,2.303138522,2.449172073,0.33,0.67
69,0.469290874,0.50246295,0.524812962,0.472719851,0.493859977,0.524808589,2.133197111,2.293290729,2.44367879,0.32,0.68
