"","resistance","dn0","rn0","gamman"
"79",0.78,0.48595,0.509340561494105,3.56254333353813
"80",0.79,0.4821,0.512913447118458,3.58748016197538
"81",0.8,0.4785,0.516295052905603,3.57187656888089
"82",0.81,0.4745,0.51998443814872,3.54974332234681
"83",0.82,0.4707,0.523506041109794,3.52235104787864
"84",0.83,0.4663,0.527602396793675,3.49973103942814
"85",0.84,0.4611,0.532335806964371,3.51895482241488
"86",0.85,0.45375,0.539108643269498,3.5098958073284
"87",0.86,0.4487,0.54372690518602,3.49581727763591
"88",0.87,0.44215,0.54968336359991,3.44769592163132
"89",0.88,0.43495,0.556186920349229,3.41341541716368
"90",0.89,0.42685,0.563470135827362,3.38116486992987
"91",0.9,0.4184,0.570993719100216,3.36792937894211
"92",0.91,0.4084,0.579845348347673,3.33556658212425
"93",0.92,0.39935,0.587784774903499,3.31640310508371
"94",0.93,0.38825,0.597441220725487,3.31356711747101
"95",0.94,0.3751,0.608694606522834,3.22842279298705
"96",0.95,0.35935,0.62188356494581,3.19545917740629
"97",0.96,0.34085,0.63705736633668,3.12670534046072
"98",0.97,0.3195,0.653948308255292,3.04682509910949
"99",0.98,0.2931,0.673862792306042,2.91691050176322
"100",0.99,0.25815,0.698279185678233,2.65655261447164
"101",1,0.1522,0.753224637908966,1.694983213502
